country,iso_code,year,renewables_share_elec,solar_share_elec,wind_share_elec,hydro_share_elec
Afghanistan,AFG,2023,86.598,9.278,0.0,77.32
Albania,ALB,2023,100.0,3.33,0.0,96.67
Algeria,DZA,2023,0.945,0.903,0.021,0.021
American Samoa,ASM,2023,0.0,0.0,0.0,0.0
Angola,AGO,2023,76.421,2.174,0.0,73.969
Antigua and Barbuda,ATG,2023,5.556,5.556,0.0,0.0
Argentina,ARG,2023,34.767,2.208,9.747,21.197
Armenia,ARM,2023,27.977,8.902,0.0,19.075
Australia,AUS,2023,34.81,16.473,11.669,5.522
Austria,AUT,2023,84.82,9.666,11.7,57.057
Azerbaijan,AZE,2023,6.531,0.241,0.275,5.638
Bahrain,BHR,2023,0.249,0.249,0.0,0.0
Bangladesh,BGD,2023,1.62,1.008,0.0,0.612
Barbados,BRB,2023,8.182,8.182,0.0,0.0
Belarus,BLR,2023,3.075,0.528,0.436,0.895
Belgium,BEL,2023,33.451,9.531,18.819,0.487
Belize,BLZ,2023,88.889,2.222,0.0,53.333
Benin,BEN,2023,3.0,3.0,0.0,0.0
Bermuda,BMU,2023,1.562,0.0,0.0,0.0
Bhutan,BTN,2023,100.0,0.0,0.0,100.0
Bolivia,BOL,2023,35.008,2.931,3.685,24.874
Bosnia and Herzegovina,BIH,2023,39.182,1.186,1.541,36.218
Botswana,BWA,2023,0.386,0.386,0.0,0.0
Brazil,BRA,2023,88.995,7.15,13.529,60.159
British Virgin Islands,VGB,2023,0.0,0.0,0.0,0.0
Brunei,BRN,2023,0.0,0.0,0.0,0.0
Bulgaria,BGR,2023,25.131,8.776,4.014,7.679
Burkina Faso,BFA,2023,17.341,5.202,0.0,6.936
Burundi,BDI,2023,69.231,0.0,0.0,66.667
Cambodia,KHM,2023,44.517,5.81,0.0,38.635
Cameroon,CMR,2023,63.866,0.24,0.0,63.145
Canada,CAN,2023,65.397,1.31,6.316,56.243
Cayman Islands,CYM,2023,2.857,2.857,0.0,0.0
Chile,CHL,2023,64.401,20.6,10.79,26.577
China,CHN,2023,30.606,6.177,9.368,12.965
Colombia,COL,2023,65.97,1.25,0.066,62.143
Comoros,COM,2023,0.0,0.0,0.0,0.0
Congo,COG,2023,20.696,0.193,0.0,20.309
Costa Rica,CRI,2023,99.915,0.683,12.724,72.929
Cote d'Ivoire,CIV,2023,31.087,0.18,0.0,30.099
Croatia,HRV,2023,69.762,2.38,13.813,47.359
Cuba,CUB,2023,4.709,1.373,0.392,0.785
Cyprus,CYP,2023,20.151,15.631,3.578,0.0
Czechia,CZE,2023,14.708,3.812,0.937,3.113
Democratic Republic of Congo,COD,2023,100.0,13.836,0.0,85.975
Denmark,DNK,2023,86.445,10.762,57.365,0.059
Djibouti,DJI,2023,35.0,0.0,35.0,0.0
Dominica,DMA,2023,13.333,0.0,0.0,13.333
Dominican Republic,DOM,2023,17.264,5.537,4.886,5.985
East Timor,TLS,2023,0.0,0.0,0.0,0.0
Ecuador,ECU,2023,76.779,0.117,0.176,75.344
Egypt,EGY,2023,11.702,2.222,2.699,6.782
El Salvador,SLV,2023,90.615,19.077,2.154,30.923
Equatorial Guinea,GNQ,2023,31.21,0.0,0.0,31.21
Eritrea,ERI,2023,11.364,11.364,0.0,0.0
Estonia,EST,2023,49.744,12.308,13.504,0.342
Eswatini,SWZ,2023,96.429,5.357,0.0,53.571
Ethiopia,ETH,2023,100.0,0.219,3.067,96.495
Fiji,FJI,2023,63.478,0.87,0.0,52.174
