GID_1,GID_0,Pais,Region,Estres_Hidrico,Categoria
CHL.5_1,CHL,Chile,Atacama,5.0,Extremely High (>80%)
ECU.9_1,ECU,Ecuador,GalÃ¡pagos,5.0,Extremely High (>80%)
CHL.16_1,CHL,Chile,ValparaÃ­so,5.0,Extremely High (>80%)
PER.7_1,PER,Peru,Callao,5.0,Extremely High (>80%)
PER.15_1,PER,Peru,Lima Province,5.0,Extremely High (>80%)
CHL.14_1,CHL,Chile,RegiÃ³n Metropolitana de Santiago,4.999986746,Extremely High (>80%)
CHL.2_1,CHL,Chile,Antofagasta,4.999720414,Extremely High (>80%)
CHL.7_1,CHL,Chile,Coquimbo,4.999450956,Extremely High (>80%)
PER.11_1,PER,Peru,Ica,4.999135778,Extremely High (>80%)
PER.16_1,PER,Peru,Lima,4.995433117,Extremely High (>80%)
PER.14_1,PER,Peru,Lambayeque,4.973716898,Extremely High (>80%)
CHL.4_1,CHL,Chile,Arica y Parinacota,4.973371991,Extremely High (>80%)
CHL.8_1,CHL,Chile,Libertador General Bernardo O'Higgins,4.944827329,Extremely High (>80%)
CHL.15_1,CHL,Chile,TarapacÃ¡,4.913209658,Extremely High (>80%)
ARG.18_1,ARG,Argentina,San Juan,4.804646639,Extremely High (>80%)
CHL.12_1,CHL,Chile,Maule,4.784032175,Extremely High (>80%)
PER.24_1,PER,Peru,Tacna,4.746629574,Extremely High (>80%)
ARG.12_1,ARG,Argentina,La Rioja,4.71316724,Extremely High (>80%)
PER.13_1,PER,Peru,La Libertad,4.583497703,Extremely High (>80%)
PER.19_1,PER,Peru,Moquegua,4.464819445,Extremely High (>80%)
ARG.13_1,ARG,Argentina,Mendoza,4.220089647,Extremely High (>80%)
PER.4_1,PER,Peru,Arequipa,4.187582523,Extremely High (>80%)
PER.2_1,PER,Peru,Ancash,4.028485698,Extremely High (>80%)
ARG.2_1,ARG,Argentina,Catamarca,3.956886302,High (40-80%)
PER.21_1,PER,Peru,Piura,3.896769393,High (40-80%)
ARG.19_1,ARG,Argentina,San Luis,3.807060448,High (40-80%)
CHL.13_1,CHL,Chile,Ã‘uble,3.704864363,High (40-80%)
CHL.6_1,CHL,Chile,BÃ­o-BÃ­o,3.677371183,High (40-80%)
VEN.4_1,VEN,Venezuela,Aragua,3.582756254,High (40-80%)
GUY.4_1,GUY,Guyana,East Berbice-Corentyne,3.539735114,High (40-80%)
VEN.20_1,VEN,Venezuela,Sucre,3.46984576,High (40-80%)
ARG.11_1,ARG,Argentina,La Pampa,3.053269716,High (40-80%)
GUY.6_1,GUY,Guyana,Mahaica-Berbice,3.020759995,High (40-80%)
VEN.7_1,VEN,Venezuela,Carabobo,3.012709085,High (40-80%)
URY.14_1,URY,Uruguay,Rocha,2.953548382,Medium - High (20-40%)
GUY.3_1,GUY,Guyana,Demerara-Mahaica,2.932486438,Medium - High (20-40%)
VEN.12_1,VEN,Venezuela,FalcÃ³n,2.873341755,Medium - High (20-40%)
ARG.10_1,ARG,Argentina,Jujuy,2.811536877,Medium - High (20-40%)
ARG.20_1,ARG,Argentina,Santa Cruz,2.74706923,Medium - High (20-40%)
URY.1_1,URY,Uruguay,Artigas,2.702765035,Medium - High (20-40%)
VEN.13_1,VEN,Venezuela,GuÃ¡rico,2.661929436,Medium - High (20-40%)
URY.10_1,URY,Uruguay,Montevideo,2.495261208,Medium - High (20-40%)
VEN.11_1,VEN,Venezuela,Distrito Capital,2.350569053,Medium - High (20-40%)
VEN.16_1,VEN,Venezuela,Miranda,2.350569053,Medium - High (20-40%)
VEN.23_1,VEN,Venezuela,Vargas,2.350569053,Medium - High (20-40%)
PER.5_1,PER,Peru,Ayacucho,2.305445114,Medium - High (20-40%)
CHL.3_1,CHL,Chile,AraucanÃ­a,2.288158405,Medium - High (20-40%)
BRA.15_1,BRA,Brazil,ParaÃ­ba,2.263497287,Medium - High (20-40%)
URY.9_1,URY,Uruguay,Maldonado,2.179876428,Medium - High (20-40%)
ARG.22_1,ARG,Argentina,Santiago del Estero,2.124348958,Medium - High (20-40%)
ECU.12_1,ECU,Ecuador,Loja,2.117927297,Medium - High (20-40%)
URY.19_1,URY,Uruguay,Treinta y Tres,2.074399078,Medium - High (20-40%)
VEN.24_1,VEN,Venezuela,Yaracuy,2.006571035,Medium - High (20-40%)
COL.19_1,COL,Colombia,Magdalena,1.995716237,Low - Medium (10-20%)
BRA.6_1,BRA,Brazil,CearÃ¡,1.992651452,Low - Medium (10-20%)
BRA.17_1,BRA,Brazil,Pernambuco,1.98018208,Low - Medium (10-20%)
PER.9_1,PER,Peru,Huancavelica,1.971061656,Low - Medium (10-20%)
URY.8_1,URY,Uruguay,Lavalleja,1.849870433,Low - Medium (10-20%)
URY.15_1,URY,Uruguay,Salto,1.816502313,Low - Medium (10-20%)
URY.2_1,URY,Uruguay,Canelones,1.812031055,Low - Medium (10-20%)
ARG.6_1,ARG,Argentina,CÃ³rdoba,1.810985764,Low - Medium (10-20%)
SUR.5_1,SUR,Suriname,Nickerie,1.779595282,Low - Medium (10-20%)
PER.6_1,PER,Peru,Cajamarca,1.77693882,Low - Medium (10-20%)
BRA.20_1,BRA,Brazil,Rio Grande do Norte,1.711609642,Low - Medium (10-20%)
ARG.15_1,ARG,Argentina,NeuquÃ©n,1.564827293,Low - Medium (10-20%)
ARG.4_1,ARG,Argentina,Chubut,1.547902907,Low - Medium (10-20%)
VEN.25_1,VEN,Venezuela,Zulia,1.543135033,Low - Medium (10-20%)
VEN.14_1,VEN,Venezuela,Lara,1.515613987,Low - Medium (10-20%)
BRA.21_1,BRA,Brazil,Rio Grande do Sul,1.447242736,Low - Medium (10-20%)
COL.5_1,COL,Colombia,BolÃ­var,1.421717814,Low - Medium (10-20%)
ARG.24_1,ARG,Argentina,TucumÃ¡n,1.40641656,Low - Medium (10-20%)
ARG.17_1,ARG,Argentina,Salta,1.388988276,Low - Medium (10-20%)
ARG.16_1,ARG,Argentina,RÃ­o Negro,1.325360847,Low - Medium (10-20%)
