Nombre,Pais,Latitud,Longitud,Tipo,Commodity_Principal
Quixeramobim,Brazil,-5.38141,-39.1489,Mine,lithium
Salar De Coipasa,Bolivia,-19.3643,-68.1328,Mine,lithium
Salar De Uyuni,Bolivia,-19.9976,-67.9995,Mine,lithium
Mibra,Brazil,-21.08632713,-44.60019833,Mine,lithium
Salar Ratones,Argentina,-25.1642,-66.7495,Mine,lithium
Reflejos Del Mar Mine,Argentina,-28.4347,-65.4341,Mine,lithium
Cachoeira,Brazil,-16.7765925,-41.90839945,Mine,lithium
Grota do Cirilo,Brazil,-16.73566475,-41.90514155,Mine,lithium
Maricunga,Chile,-26.747525,-69.075204,Mine,lithium
Muerto North,Argentina,-25.44202456,-67.10198945,Mine,lithium
Pastos Grandes,Argentina,-24.572551,-66.700783,Mine,lithium
Sal de Vida,Argentina,-25.413716,-66.9910198,Mine,lithium
Salar de Olaroz,Argentina,-23.4690065,-66.6845117,Mine,lithium
Salar del Carmen/Salar de Atacama,Chile,-23.63398355,-70.261734,Plant,lithium
Salar de Atacama,Chile,-23.548055,-68.392085,Mine;Plant,lithium
Cauchari Olaroz,Argentina,-23.42685,-66.64726,Mine,lithium
